name,category_type
"Art, design, photography",general
Fashion & Beauty,general
Food & Drink,general
"Music, Movies & TV",general
Celebrities,general
Places & Travel,general
Technology & Apps,general
Relationships,general
Gaming,general
Sports & Outdoors,general
"Cars, Boats, and Bikes",general
Lifestyle,general
Health & Fitness,general
Parenting & Family,general
Pets & Animals,general
Home & Garden,general
Humor,lighthearted
Random,lighthearted
World Events & Politics,serious
Books,serious
Religion,serious
Science,serious
Philosophy,serious
Business & Finance,serious
Values,serious
