question_type,title,category_id,image_url,min_value,max_value,interval,units,hidden
2,How much do you like American Idol?,4,,0,100,5,,true
2,How environmental are you?,12,,0,100,5,,true
1,Which is your favorite 2013 fall movie?,4,,,,,,true
2,Which vehicle are you more like?,11,,0,100,5,,true
2,"On politics, are you public or private?",19,,0,100,5,,true
2,How much TV do you watch each day?,4,,0,8,1,hr,true
1,Rank these Presidents as babysitters.,5,,,,,,true
3,How likely is it that these controversial things are real?,18,,,,,,
3,"Change ""crafts"" choice to ""reading""",12,,,,,,true
3,How scary are these creatures?,18,,,,,,
1,Rank these SNL celebs as your hostage negoitators.,5,,,,,,
2,"How religious are you? True believer, atheist",22,,0,10,1,,true
3,How would you rate these classic books?,20,,,,,,
3,"Should all choices be good (or all be bad)? Should be ""black cat crossing your path""",18,,,,,,true
1,"Rate how important these big life events would be to you. How about ""first job"" instead of ""childbirth""?",25,,,,,,true
1,How appealing are these smells?,18,,,,,,true
1,Which type of cuisine could you eat most often?,3,,,,,,true
1,How important are these essentials to you?,25,,,,,,true
1,Which kitchen gadget is most important to you?,7,,,,,,true
1,How appealing are these girls' names?,14,,,,,,true
1,How appealing are these boys' names?,14,,,,,,true
1,Who was the more impressive First Lady?,19,,,,,,true
3,Is this a question of repeating because it was so great or redoing because you have so many regrets?,18,,,,,,true
1,How powerful will each country be in 2020?,19,,,,,,true
1,How would you prioritize these presidential concerns?,19,,,,,,true
3,How cool is each of these US states?,1,,,,,,
1,What traits are more important to you in a friend?,8,,,,,,true
1,"Of these dead actors, who was better?",5,,,,,,true
1,I'd suggest dropping this question,19,,,,,,true
1,I'd suggest dropping this question,6,,,,,,true
1,Who would you share a big secret with first?,8,,,,,,true
1,How would you rank your talents in these areas?,1,,,,,,
1,How would you rank these basketball players?,5,,,,,,
1,How do these democratic principles rank in importance to you?,25,,,,,,true
2,Are you more a talker or a listener?,18,,0,100,5,,
2,Are you more a cat person or a dog person?,15,,0,100,5,,
3,How much do these annoying sounds bother you?,18,,,,,,
1,Which of these performances is more likely to put you to sleep?,1,,,,,,true
1,Which of these numbers do you consider more unlucky?,18,,,,,,true
1,I'd drop this one--boring and repetitious,10,,,,,,true
1,Which type of bug bugs you more?,15,,,,,,true
1,"This seems a fact question, not an opinion",15,,,,,,true
1,Which dinosaur is cooler?,15,,,,,,true
1,Which type of roadkill do you see more of?,15,,,,,,true
1,I'd suggest dropping this question,22,,,,,,true
3,How much do you like these music genres?,4,,,,,,
1,I'd suggest dropping this question,2,,,,,,true
1,"For big money, what bad things would you eat?",17,,,,,,true
3,How much do you like these classic cartoon characters?,4,,,,,,
2,I'd suggest dropping this question,19,,0,100,5,,true
2,How likely is world peace in your lifetime?,19,,0,100,5,,
3,How evil are these big corporations?,24,,,,,,
1,Which of these faux pas is most embarrassing to you?,17,,,,,,
1,What would you be more likely to do if today was your last?,25,,,,,,true
1,Which animal face is funnier?,15,,,,,,true
3,How much do you like these alcoholic drinks?,3,,,,,,
2,Are you a yard sale person or do you tend to give away your junk?,25,,0,100,5,,
1,How much do you like these gum flavors?,3,,,,,,true
1,Which of these body barts do you find uglier?,2,,,,,,true
1,Which of these insults do you find most offensive?,17,,,,,,true
1,Which of these addictions would you most dread?,13,,,,,,true
2,I'd suggest dropping this question,13,,0,100,50,,true
1,Which of these odd jobs would you more prefer to do?,12,,,,,,true
1,What would be your dish picks for Thanksgiving dinner?,3,,,,,,true
1,Which of these baby animals is cuter?,15,,,,,,true
1,Which of these sports is harder to referee?,10,,,,,,true
3,How'd you like these childhood games?,10,,,,,,
3,How much do you approve of piercings on these body parts?,2,,,,,,
1,Outdated?,4,,,,,,true
1,"Which ""The Office"" character is funnier?",4,,,,,,true
1,Which of these weapons is worse?,23,,,,,,true
3,Many kids and young adults won't have been impacted by any of these,19,,,,,,true
1,Which of these professions is more important to society?,12,,,,,,true
1,Which of these joke themes is more offensive to you?,17,,,,,,true
1,Which of these popular Broadway musicals is better?,1,,,,,,true
1,Which of these US systems is in most need of repair?,19,,,,,,true
1,Which of these indulgent drinks is healthier?,3,,,,,,
1,Which of these capital punishment methods would you choose?,18,,,,,,true
1,Which of these ways to die do you find better?,23,,,,,,true
1,Which of these sounds is more pleasing to you?,18,,,,,,true
1,Which of these dessert types is tastier?,3,,,,,,true
1,Which of these hand tools was more important to the world?,16,,,,,,true
